,Unnamed: 0,Student ID,student_name,gender,grade,school_name,reading_score,math_score,cat_read,cat_math
194,194,194,Victoria Joseph,F,12th,Huang High School,72,56,aprobado,reprobado
195,195,195,Brandy Marshall,F,11th,Huang High School,86,60,aprobado,reprobado
196,196,196,Ryan Jimenez,M,11th,Huang High School,63,89,reprobado,aprobado
197,197,197,Michael Chan,M,9th,Huang High School,63,69,reprobado,reprobado
198,198,198,Christopher Phillips,M,9th,Huang High School,86,55,aprobado,reprobado
199,199,199,Kevin Murphy,M,10th,Huang High School,85,99,aprobado,aprobado
200,200,200,Vanessa Harper,F,12th,Huang High School,85,85,aprobado,aprobado
201,201,201,James Ferguson,M,9th,Huang High School,96,66,aprobado,reprobado
202,202,202,Carol Schroeder,F,12th,Huang High School,83,61,aprobado,reprobado
203,203,203,Jerry Phillips,M,10th,Huang High School,82,72,aprobado,aprobado
204,204,204,Kristin Wade,F,9th,Huang High School,71,56,aprobado,reprobado
205,205,205,Jessica Warner,F,11th,Huang High School,94,83,aprobado,aprobado
206,206,206,Dorothy Burke,F,11th,Huang High School,91,92,aprobado,aprobado
207,207,207,Bethany Walter,F,9th,Huang High School,88,76,aprobado,aprobado
208,208,208,Melissa Avery,F,9th,Huang High School,83,86,aprobado,aprobado
209,209,209,Daniel Sutton,M,11th,Huang High School,86,96,aprobado,aprobado
210,210,210,Ryan Johnson,M,9th,Huang High School,63,79,reprobado,aprobado
211,211,211,Timothy Quinn,M,10th,Huang High School,83,76,aprobado,aprobado
212,212,212,Zachary Allen,M,10th,Huang High School,64,87,reprobado,aprobado
213,213,213,Lauren Schmitt,F,12th,Huang High School,71,61,aprobado,reprobado
214,214,214,Stephanie Armstrong,F,11th,Huang High School,70,66,aprobado,reprobado
215,215,215,Ruben Rivera,M,9th,Huang High School,65,79,reprobado,aprobado
216,216,216,Patricia Petty,F,12th,Huang High School,79,98,aprobado,aprobado
217,217,217,Joseph Jacobs,M,11th,Huang High School,96,68,aprobado,reprobado
218,218,218,Bianca Wilson,F,11th,Huang High School,66,62,reprobado,reprobado
219,219,219,Donald Perez,M,9th,Huang High School,87,79,aprobado,aprobado
220,220,220,Curtis Gomez,M,9th,Huang High School,77,77,aprobado,aprobado
221,221,221,Courtney Brown,F,9th,Huang High School,90,88,aprobado,aprobado
222,222,222,Nicole Randall,F,9th,Huang High School,94,78,aprobado,aprobado
223,223,223,Steven Lambert,M,11th,Huang High School,64,56,reprobado,reprobado
224,224,224,Anthony Alvarez,M,10th,Huang High School,93,90,aprobado,aprobado
225,225,225,Shawn Farrell,M,10th,Huang High School,89,87,aprobado,aprobado
226,226,226,Jesus Schmidt,M,9th,Huang High School,80,76,aprobado,aprobado
227,227,227,Laura Wright,F,12th,Huang High School,89,69,aprobado,reprobado
228,228,228,Steven Smith,M,11th,Huang High School,66,65,reprobado,reprobado
229,229,229,Norman Thompson,M,9th,Huang High School,99,78,aprobado,aprobado
230,230,230,Anthony Wright,M,10th,Huang High School,76,64,aprobado,reprobado
231,231,231,Kayla Watts,F,11th,Huang High School,74,89,aprobado,aprobado
232,232,232,Aimee Johnson,F,9th,Huang High School,97,55,aprobado,reprobado
233,233,233,Heidi Scott,F,12th,Huang High School,77,98,aprobado,aprobado
234,234,234,Anthony Williams,M,10th,Huang High School,78,93,aprobado,aprobado
235,235,235,Sarah Hill,F,12th,Huang High School,88,97,aprobado,aprobado
236,236,236,Kim Wang,F,9th,Huang High School,90,71,aprobado,aprobado
237,237,237,Beth Manning,F,11th,Huang High School,88,92,aprobado,aprobado
238,238,238,Ryan Hanson,M,12th,Huang High School,87,83,aprobado,aprobado
239,239,239,James Wood,M,9th,Huang High School,70,81,aprobado,aprobado
240,240,240,Corey Greene,M,10th,Huang High School,70,94,aprobado,aprobado
241,241,241,John Carter,M,11th,Huang High School,95,83,aprobado,aprobado
242,242,242,Beth Garza,F,11th,Huang High School,75,92,aprobado,aprobado
243,243,243,Karen Jones,F,9th,Huang High School,78,96,aprobado,aprobado
244,244,244,Stephanie Poole,F,10th,Huang High School,95,59,aprobado,reprobado
245,245,245,Lisa Brown,F,9th,Huang High School,99,72,aprobado,aprobado
246,246,246,Paul Scott,M,10th,Huang High School,64,78,reprobado,aprobado
247,247,247,Evelyn Buck,F,10th,Huang High School,68,60,reprobado,reprobado
248,248,248,Terry Harrell,M,9th,Huang High School,86,69,aprobado,reprobado
249,249,249,Leah Skinner,F,11th,Huang High School,70,79,aprobado,aprobado
250,250,250,Anthony Mercado,M,11th,Huang High School,95,97,aprobado,aprobado
251,251,251,Walter Kelly,M,9th,Huang High School,80,78,aprobado,aprobado
252,252,252,Lori Evans,F,10th,Huang High School,99,66,aprobado,reprobado
253,253,253,Ashley Jones,F,12th,Huang High School,96,72,aprobado,aprobado
254,254,254,Amber Soto,F,9th,Huang High School,82,60,aprobado,reprobado
255,255,255,Patrick Phillips,M,10th,Huang High School,64,62,reprobado,reprobado
256,256,256,Linda Curry,F,11th,Huang High School,74,76,aprobado,aprobado
257,257,257,Alexander Obrien,M,10th,Huang High School,68,90,reprobado,aprobado
258,258,258,Vincent Garza,M,10th,Huang High School,97,61,aprobado,reprobado
259,259,259,Terry Marsh,M,11th,Huang High School,99,69,aprobado,reprobado
260,260,260,Angela Perkins,F,11th,Huang High School,76,56,aprobado,reprobado
261,261,261,Peter Hampton,M,9th,Huang High School,83,97,aprobado,aprobado
262,262,262,David Cross,M,11th,Huang High School,68,61,reprobado,reprobado
263,263,263,Clinton Ortega,M,10th,Huang High School,93,62,aprobado,reprobado
264,264,264,Jamie Escobar,F,10th,Huang High School,91,91,aprobado,aprobado
265,265,265,Sandra Mason,F,12th,Huang High School,76,83,aprobado,aprobado
266,266,266,Craig Cole,M,12th,Huang High School,83,92,aprobado,aprobado
267,267,267,Lisa Warren,F,12th,Huang High School,70,81,aprobado,aprobado
268,268,268,Maria Howard,F,9th,Huang High School,74,91,aprobado,aprobado
269,269,269,Michael Porter,M,11th,Huang High School,86,68,aprobado,reprobado
270,270,270,John Turner,M,11th,Huang High School,78,99,aprobado,aprobado
271,271,271,Timothy Wang,M,12th,Huang High School,93,75,aprobado,aprobado
272,272,272,Amanda Taylor,F,9th,Huang High School,73,58,aprobado,reprobado
273,273,273,Karen Mckenzie,F,9th,Huang High School,82,64,aprobado,reprobado
274,274,274,Brandon Miles,M,11th,Huang High School,98,76,aprobado,aprobado
275,275,275,Christina Whitaker,F,12th,Huang High School,86,89,aprobado,aprobado
276,276,276,Nicole Peterson,F,9th,Huang High School,78,98,aprobado,aprobado
277,277,277,Ashley Moore,F,9th,Huang High School,67,74,reprobado,aprobado
278,278,278,Todd Carrillo,M,10th,Huang High School,80,99,aprobado,aprobado
279,279,279,Robert Williams,M,10th,Huang High School,63,68,reprobado,reprobado
280,280,280,Ashley Jones,F,9th,Huang High School,92,72,aprobado,aprobado
281,281,281,Vanessa Parker,F,9th,Huang High School,67,78,reprobado,aprobado
282,282,282,Robert Carlson,M,12th,Huang High School,73,82,aprobado,aprobado
283,283,283,Jared Lewis,M,10th,Huang High School,77,56,aprobado,reprobado
284,284,284,Christopher Hernandez,M,10th,Huang High School,92,64,aprobado,reprobado
285,285,285,Kimberly Harris,F,9th,Huang High School,66,59,reprobado,reprobado
286,286,286,Katrina Hill,F,10th,Huang High School,73,73,aprobado,aprobado
287,287,287,Heather Lee,F,9th,Huang High School,71,69,aprobado,reprobado
288,288,288,Donald Harmon,M,11th,Huang High School,63,67,reprobado,reprobado
289,289,289,Elizabeth Sanders,F,10th,Huang High School,82,64,aprobado,reprobado
290,290,290,Richard Ramsey,M,12th,Huang High School,80,60,aprobado,reprobado
291,291,291,Carmen Johnson,F,12th,Huang High School,89,79,aprobado,aprobado
292,292,292,Elaine Osborne,F,10th,Huang High School,91,69,aprobado,reprobado
293,293,293,Kent Burns,M,9th,Huang High School,81,72,aprobado,aprobado
294,294,294,Meagan Smith,F,11th,Huang High School,67,87,reprobado,aprobado
295,295,295,Craig Hahn,M,9th,Huang High School,92,73,aprobado,aprobado
296,296,296,Jeremy Wu,M,11th,Huang High School,72,81,aprobado,aprobado
297,297,297,Aaron Rodriguez,M,11th,Huang High School,75,78,aprobado,aprobado
298,298,298,Matthew Taylor,M,10th,Huang High School,64,63,reprobado,reprobado
299,299,299,Diana Evans,F,11th,Huang High School,96,94,aprobado,aprobado
300,300,300,Michele Pearson,F,12th,Huang High School,89,98,aprobado,aprobado
301,301,301,Erik Wagner,M,12th,Huang High School,92,61,aprobado,reprobado
302,302,302,Maria Welch,F,12th,Huang High School,74,97,aprobado,aprobado
303,303,303,Debra Martin,F,12th,Huang High School,68,55,reprobado,reprobado
304,304,304,Devon Conner,M,9th,Huang High School,91,89,aprobado,aprobado
305,305,305,Christine Patel,F,9th,Huang High School,99,94,aprobado,aprobado
306,306,306,David Lopez,M,9th,Huang High School,95,95,aprobado,aprobado
307,307,307,Nathan Baird,M,11th,Huang High School,68,59,reprobado,reprobado
308,308,308,Samuel Castillo,M,11th,Huang High School,98,57,aprobado,reprobado
309,309,309,Rebecca Payne,F,11th,Huang High School,77,66,aprobado,reprobado
310,310,310,Carl Johnson,M,10th,Huang High School,64,95,reprobado,aprobado
311,311,311,William Adams,M,12th,Huang High School,85,82,aprobado,aprobado
312,312,312,Paula Harrison,F,11th,Huang High School,81,91,aprobado,aprobado
313,313,313,Wayne Atkinson,M,11th,Huang High School,86,63,aprobado,reprobado
314,314,314,Lindsay Frank,F,9th,Huang High School,92,66,aprobado,reprobado
315,315,315,Jose Garcia,M,10th,Huang High School,67,84,reprobado,aprobado
316,316,316,Andrew Gaines,M,12th,Huang High School,68,87,reprobado,aprobado
317,317,317,Rachael Liu,F,10th,Huang High School,77,79,aprobado,aprobado
318,318,318,Donald Lewis,M,11th,Huang High School,72,72,aprobado,aprobado
319,319,319,Shane Edwards,M,9th,Huang High School,74,59,aprobado,reprobado
320,320,320,Todd Levy,M,12th,Huang High School,91,94,aprobado,aprobado
321,321,321,Joanna Moore,F,10th,Huang High School,84,66,aprobado,reprobado
322,322,322,Michael Lewis,M,9th,Huang High School,98,90,aprobado,aprobado
323,323,323,James Robinson,M,9th,Huang High School,91,60,aprobado,reprobado
324,324,324,Jeffrey Arellano,M,9th,Huang High School,89,87,aprobado,aprobado
325,325,325,Heather Allen,F,11th,Huang High School,96,94,aprobado,aprobado
326,326,326,Lori Villarreal,F,9th,Huang High School,66,81,reprobado,aprobado
327,327,327,Robert Harper,M,12th,Huang High School,78,85,aprobado,aprobado
328,328,328,Karen Villegas,F,9th,Huang High School,76,57,aprobado,reprobado
329,329,329,Tracey Crane,F,9th,Huang High School,77,97,aprobado,aprobado
330,330,330,Elizabeth Allen,F,9th,Huang High School,73,77,aprobado,aprobado
331,331,331,Jorge Lynn,M,11th,Huang High School,93,66,aprobado,reprobado
332,332,332,Harold Gordon,M,11th,Huang High School,98,66,aprobado,reprobado
333,333,333,Nicholas Mcclain,M,9th,Huang High School,76,90,aprobado,aprobado
334,334,334,Tanya Harris,F,11th,Huang High School,85,86,aprobado,aprobado
335,335,335,Amy Smith,F,12th,Huang High School,93,93,aprobado,aprobado
336,336,336,Kathy Morse,F,11th,Huang High School,64,91,reprobado,aprobado
337,337,337,Andrea Wood,F,10th,Huang High School,77,70,aprobado,aprobado
338,338,338,Maureen Massey,F,9th,Huang High School,98,76,aprobado,aprobado
339,339,339,Daniel Smith,M,11th,Huang High School,66,81,reprobado,aprobado
340,340,340,Alexandra Smith,F,11th,Huang High School,78,77,aprobado,aprobado
341,341,341,Caitlin Hall,F,11th,Huang High School,72,58,aprobado,reprobado
342,342,342,Jose Carlson,M,11th,Huang High School,90,91,aprobado,aprobado
343,343,343,Deborah Macias,F,9th,Huang High School,90,87,aprobado,aprobado
344,344,344,Dwayne Rice,M,11th,Huang High School,99,78,aprobado,aprobado
345,345,345,Matthew Harris,M,10th,Huang High School,69,80,reprobado,aprobado
346,346,346,Eric Bowman,M,9th,Huang High School,80,94,aprobado,aprobado
347,347,347,Samuel Ali,M,9th,Huang High School,66,91,reprobado,aprobado
348,348,348,David Miller,M,12th,Huang High School,70,92,aprobado,aprobado
349,349,349,James Moreno,M,11th,Huang High School,89,63,aprobado,reprobado
350,350,350,Brooke Austin,F,11th,Huang High School,78,98,aprobado,aprobado
351,351,351,Alisha Martin,F,10th,Huang High School,65,68,reprobado,reprobado
352,352,352,Neil Rodriguez,M,10th,Huang High School,98,69,aprobado,reprobado
